,example,sepal_length,sepal_width
0,0,"a- 5,1","3,,5"
1,1,"a- 4,9",3
2,2,"a- 4,7","3,,2"
3,3,"a- 4,6","3,,1"
4,4,a- 5,"3,,6"
5,5,"a- 5,4","3,,9"
6,6,"a- 4,6","3,,4"
7,7,a- 5,"3,4"
8,8,"a- 4,4","2,9"
9,9,"a- 4,9","3,1"
10,10,"a- 5,4","3,7"
11,11,"a- 4,8","3,4"
12,12,"a- 4,8",3
13,13,"a- 4,3",3
14,14,"a- 5,8",4
15,15,"a- 5,7","4,4"
16,16,"a- 5,4","3,9"
17,17,"a- 5,1","3,5"
18,18,"a- 5,7","3,8"
19,19,"a- 5,1","3,8"
20,20,"a- 5,4","3,4"
21,21,"a- 5,1","3,7"
22,22,"a- 4,6","3,6"
23,23,"a- 5,1","3,3"
24,24,"a- 4,8","3,4"
25,25,a- 5,3
26,26,a- 5,"3,4"
27,27,"a- 5,2","3,5"
28,28,"a- 5,2","3,4"
29,29,"a- 4,7","3,2"
30,30,"a- 4,8","3,1"
31,31,"a- 5,4","3,4"
32,32,"a- 5,2","4,1"
33,33,"a- 5,5","4,2"
34,34,"a- 4,9","3,1"
35,35,a- 5,"3,2"
36,36,"a- 5,5","3,5"
37,37,"a- 4,9","3,6"
38,38,"a- 4,4",3
39,39,"a- 5,1","3,4"
40,40,a- 5,"3,5"
41,41,"a- 4,5","2,3"
42,42,"a- 4,4","3,2"
43,43,a- 5,"3,5"
44,44,"a- 5,1","3,8"
45,45,"a- 4,8",3
46,46,"a- 5,1","3,8"
47,47,"a- 4,6","3,2"
48,48,"a- 5,3","3,7"
49,49,a- 5,"3,3"
50,50,a- 7,"3,2"
51,51,"a- 6,4","3,2"
52,52,"a- 6,9","3,1"
53,53,"a- 5,5","2,3"
54,54,"a- 6,5","2,8"
55,55,"a- 5,7","2,8"
56,56,"a- 6,3","3,3"
57,57,"a- 4,9","2,4"
58,58,"a- 6,6","2,9"
59,59,"a- 5,2","2,7"
60,60,a- 5,2
61,61,"a- 5,9",3
62,62,a- 6,"2,2"
63,63,"a- 6,1","2,9"
64,64,"a- 5,6","2,9"
65,65,"a- 6,7","3,1"
66,66,"a- 5,6",3
67,67,"a- 5,8","2,7"
68,68,"a- 6,2","2,2"
69,69,"a- 5,6","2,5"
70,70,"a- 5,9","3,2"
71,71,"a- 6,1","2,8"
72,72,"a- 6,3","2,5"
73,73,"a- 6,1","2,8"
74,74,"a- 6,4","2,9"
75,75,"a- 6,6",3
76,76,"a- 6,8","2,8"
77,77,"a- 6,7",3
78,78,a- 6,"2,9"
79,79,"a- 5,7","2,6"
80,80,"a- 5,5","2,4"
81,81,"a- 5,5","2,4"
82,82,"a- 5,8","2,7"
83,83,a- 6,"2,7"
84,84,"a- 5,4",3
85,85,a- 6,"3,4"
86,86,"a- 6,7","3,1"
87,87,"a- 6,3","2,3"
88,88,"a- 5,6",3
89,89,"a- 5,5","2,5"
90,90,"a- 5,5","2,6"
91,91,"a- 6,1",3
92,92,"a- 5,8","2,6"
93,93,a- 5,"2,3"
94,94,"a- 5,6","2,7"
95,95,"a- 5,7",3
96,96,"a- 5,7","2,9"
97,97,"a- 6,2","2,9"
98,98,"a- 5,1","2,5"
99,99,"a- 5,7","2,8"
100,100,"a- 6,3","3,3"
101,101,"a- 5,8","2,7"
102,102,"a- 7,1",3
103,103,"a- 6,3","2,9"
104,104,"a- 6,5",3
105,105,"a- 7,6",3
106,106,"a- 4,9","2,5"
107,107,"a- 7,3","2,9"
108,108,"a- 6,7","2,5"
109,109,"a- 7,2","3,6"
110,110,"a- 6,5","3,2"
111,111,"a- 6,4","2,7"
112,112,"a- 6,8",3
113,113,"a- 5,7","2,5"
114,114,"a- 5,8","2,8"
115,115,"a- 6,4","3,2"
116,116,"a- 6,5",3
117,117,"a- 7,7","3,8"
118,118,"a- 7,7","2,6"
119,119,a- 6,"2,2"
120,120,"a- 6,9","3,2"
121,121,"a- 5,6","2,8"
122,122,"a- 7,7","2,8"
123,123,"a- 6,3","2,7"
124,124,"a- 6,7","3,3"
125,125,"a- 7,2","3,2"
126,126,"a- 6,2","2,8"
127,127,"a- 6,1",3
128,128,"a- 6,4","2,8"
129,129,"a- 7,2",3
130,130,"a- 7,4","2,8"
131,131,"a- 7,9","3,8"
132,132,"a- 6,4","2,8"
133,133,"a- 6,3","2,8"
134,134,"a- 6,1","2,6"
135,135,"a- 7,7",3
136,136,"a- 6,3","3,4"
137,137,"a- 6,4","3,1"
138,138,a- 6,3
139,139,"a- 6,9","3,1"
140,140,"a- 6,7","3,1"
141,141,"a- 6,9","3,1"
142,142,"a- 5,8","2,7"
143,143,"a- 6,8","3,2"
144,144,"a- 6,7","3,3"
145,145,"a- 6,7",3
146,146,"a- 6,3","2,5"
147,147,"a- 6,5",3
148,148,"a- 6,2","3,4"
149,149,"a- 5,9",3
