example,sepal_length,sepal_width,petal_length,petal_width,species,sepal_area,petal_area
0,5.1,3.5,1.4,0.2,setosa,17.849999999999998,0.27999999999999997
1,4.9,3.0,1.4,0.2,setosa,14.700000000000001,0.27999999999999997
2,4.7,3.2,1.3,0.2,setosa,15.040000000000001,0.26
3,4.6,3.1,1.5,0.2,setosa,14.26,0.30000000000000004
4,5.0,3.6,1.4,0.3,setosa,18.0,0.42
5,5.4,3.9,1.7,0.4,setosa,21.060000000000002,0.68
6,4.6,3.4,1.4,0.3,setosa,15.639999999999999,0.42
7,5.0,3.4,1.5,0.2,setosa,17.0,0.30000000000000004
8,4.4,2.9,1.4,0.2,setosa,12.76,0.27999999999999997
9,4.9,3.1,1.5,0.1,setosa,15.190000000000001,0.15000000000000002
10,5.4,3.7,1.5,0.2,setosa,19.980000000000004,0.30000000000000004
11,4.8,3.4,1.6,0.2,setosa,16.32,0.32000000000000006
12,4.8,3.0,1.4,0.1,setosa,14.399999999999999,0.13999999999999999
13,4.3,3.0,1.1,0.1,setosa,12.899999999999999,0.11000000000000001
14,5.8,4.0,1.2,0.2,setosa,23.2,0.24
15,5.7,4.4,1.5,0.4,setosa,25.080000000000002,0.6000000000000001
16,5.4,3.9,1.3,0.4,setosa,21.060000000000002,0.52
17,5.1,3.5,1.4,0.3,setosa,17.849999999999998,0.42
18,5.7,3.8,1.7,0.3,setosa,21.66,0.51
19,5.1,3.8,1.5,0.3,setosa,19.38,0.44999999999999996
20,5.4,3.4,1.7,0.2,setosa,18.36,0.34
21,5.1,3.7,1.5,0.4,setosa,18.87,0.6000000000000001
22,4.6,3.6,1.0,0.2,setosa,16.56,0.2
23,5.1,3.3,1.7,0.5,setosa,16.83,0.85
24,4.8,3.4,1.9,0.2,setosa,16.32,0.38
25,5.0,3.0,1.6,0.2,setosa,15.0,0.32000000000000006
26,5.0,3.4,1.6,0.4,setosa,17.0,0.6400000000000001
27,5.2,3.5,1.5,0.2,setosa,18.2,0.30000000000000004
28,5.2,3.4,1.4,0.2,setosa,17.68,0.27999999999999997
29,4.7,3.2,1.6,0.2,setosa,15.040000000000001,0.32000000000000006
30,4.8,3.1,1.6,0.2,setosa,14.879999999999999,0.32000000000000006
31,5.4,3.4,1.5,0.4,setosa,18.36,0.6000000000000001
32,5.2,4.1,1.5,0.1,setosa,21.32,0.15000000000000002
33,5.5,4.2,1.4,0.2,setosa,23.1,0.27999999999999997
34,4.9,3.1,1.5,0.2,setosa,15.190000000000001,0.30000000000000004
35,5.0,3.2,1.2,0.2,setosa,16.0,0.24
36,5.5,3.5,1.3,0.2,setosa,19.25,0.26
37,4.9,3.6,1.4,0.1,setosa,17.64,0.13999999999999999
38,4.4,3.0,1.3,0.2,setosa,13.200000000000001,0.26
39,5.1,3.4,1.5,0.2,setosa,17.34,0.30000000000000004
40,5.0,3.5,1.3,0.3,setosa,17.5,0.39
41,4.5,2.3,1.3,0.3,setosa,10.35,0.39
42,4.4,3.2,1.3,0.2,setosa,14.080000000000002,0.26
43,5.0,3.5,1.6,0.6,setosa,17.5,0.96
44,5.1,3.8,1.9,0.4,setosa,19.38,0.76
45,4.8,3.0,1.4,0.3,setosa,14.399999999999999,0.42
46,5.1,3.8,1.6,0.2,setosa,19.38,0.32000000000000006
47,4.6,3.2,1.4,0.2,setosa,14.719999999999999,0.27999999999999997
48,5.3,3.7,1.5,0.2,setosa,19.61,0.30000000000000004
49,5.0,3.3,1.4,0.2,setosa,16.5,0.27999999999999997
50,7.0,3.2,4.7,1.4,versicolor,22.400000000000002,6.58
51,6.4,3.2,4.5,1.5,versicolor,20.480000000000004,6.75
52,6.9,3.1,4.9,1.5,versicolor,21.39,7.3500000000000005
53,5.5,2.3,4.0,1.3,versicolor,12.649999999999999,5.2
54,6.5,2.8,4.6,1.5,versicolor,18.2,6.8999999999999995
55,5.7,2.8,4.5,1.3,versicolor,15.959999999999999,5.8500000000000005
56,6.3,3.3,4.7,1.6,versicolor,20.79,7.5200000000000005
57,4.9,2.4,3.3,1.0,versicolor,11.76,3.3
58,6.6,2.9,4.6,1.3,versicolor,19.139999999999997,5.9799999999999995
59,5.2,2.7,3.9,1.4,versicolor,14.040000000000001,5.46
60,5.0,2.0,3.5,1.0,versicolor,10.0,3.5
61,5.9,3.0,4.2,1.5,versicolor,17.700000000000003,6.300000000000001
62,6.0,2.2,4.0,1.0,versicolor,13.200000000000001,4.0
63,6.1,2.9,4.7,1.4,versicolor,17.689999999999998,6.58
64,5.6,2.9,3.6,1.3,versicolor,16.24,4.680000000000001
65,6.7,3.1,4.4,1.4,versicolor,20.77,6.16
66,5.6,3.0,4.5,1.5,versicolor,16.799999999999997,6.75
67,5.8,2.7,4.1,1.0,versicolor,15.66,4.1
68,6.2,2.2,4.5,1.5,versicolor,13.640000000000002,6.75
69,5.6,2.5,3.9,1.1,versicolor,14.0,4.29
70,5.9,3.2,4.8,1.8,versicolor,18.880000000000003,8.64
71,6.1,2.8,4.0,1.3,versicolor,17.08,5.2
72,6.3,2.5,4.9,1.5,versicolor,15.75,7.3500000000000005
73,6.1,2.8,4.7,1.2,versicolor,17.08,5.64
74,6.4,2.9,4.3,1.3,versicolor,18.56,5.59
75,6.6,3.0,4.4,1.4,versicolor,19.799999999999997,6.16
76,6.8,2.8,4.8,1.4,versicolor,19.04,6.72
77,6.7,3.0,5.0,1.7,versicolor,20.1,8.5
78,6.0,2.9,4.5,1.5,versicolor,17.4,6.75
79,5.7,2.6,3.5,1.0,versicolor,14.82,3.5
80,5.5,2.4,3.8,1.1,versicolor,13.2,4.18
81,5.5,2.4,3.7,1.0,versicolor,13.2,3.7
82,5.8,2.7,3.9,1.2,versicolor,15.66,4.68
83,6.0,2.7,5.1,1.6,versicolor,16.200000000000003,8.16
84,5.4,3.0,4.5,1.5,versicolor,16.200000000000003,6.75
85,6.0,3.4,4.5,1.6,versicolor,20.4,7.2
86,6.7,3.1,4.7,1.5,versicolor,20.77,7.050000000000001
87,6.3,2.3,4.4,1.3,versicolor,14.489999999999998,5.720000000000001
88,5.6,3.0,4.1,1.3,versicolor,16.799999999999997,5.33
89,5.5,2.5,4.0,1.3,versicolor,13.75,5.2
90,5.5,2.6,4.4,1.2,versicolor,14.3,5.28
91,6.1,3.0,4.6,1.4,versicolor,18.299999999999997,6.4399999999999995
92,5.8,2.6,4.0,1.2,versicolor,15.08,4.8
93,5.0,2.3,3.3,1.0,versicolor,11.5,3.3
94,5.6,2.7,4.2,1.3,versicolor,15.12,5.460000000000001
95,5.7,3.0,4.2,1.2,versicolor,17.1,5.04
96,5.7,2.9,4.2,1.3,versicolor,16.53,5.460000000000001
97,6.2,2.9,4.3,1.3,versicolor,17.98,5.59
98,5.1,2.5,3.0,1.1,versicolor,12.75,3.3000000000000003
99,5.7,2.8,4.1,1.3,versicolor,15.959999999999999,5.33
100,6.3,3.3,6.0,2.5,virginica,20.79,15.0
101,5.8,2.7,5.1,1.9,virginica,15.66,9.69
102,7.1,3.0,5.9,2.1,virginica,21.299999999999997,12.39
103,6.3,2.9,5.6,1.8,virginica,18.27,10.08
104,6.5,3.0,5.8,2.2,virginica,19.5,12.76
105,7.6,3.0,6.6,2.1,virginica,22.799999999999997,13.86
106,4.9,2.5,4.5,1.7,virginica,12.25,7.6499999999999995
107,7.3,2.9,6.3,1.8,virginica,21.169999999999998,11.34
108,6.7,2.5,5.8,1.8,virginica,16.75,10.44
109,7.2,3.6,6.1,2.5,virginica,25.92,15.25
110,6.5,3.2,5.1,2.0,virginica,20.8,10.2
111,6.4,2.7,5.3,1.9,virginica,17.28,10.069999999999999
112,6.8,3.0,5.5,2.1,virginica,20.4,11.55
113,5.7,2.5,5.0,2.0,virginica,14.25,10.0
114,5.8,2.8,5.1,2.4,virginica,16.24,12.239999999999998
115,6.4,3.2,5.3,2.3,virginica,20.480000000000004,12.19
116,6.5,3.0,5.5,1.8,virginica,19.5,9.9
117,7.7,3.8,6.7,2.2,virginica,29.259999999999998,14.740000000000002
118,7.7,2.6,6.9,2.3,virginica,20.02,15.87
119,6.0,2.2,5.0,1.5,virginica,13.200000000000001,7.5
120,6.9,3.2,5.7,2.3,virginica,22.080000000000002,13.11
121,5.6,2.8,4.9,2.0,virginica,15.679999999999998,9.8
122,7.7,2.8,6.7,2.0,virginica,21.56,13.4
123,6.3,2.7,4.9,1.8,virginica,17.01,8.82
124,6.7,3.3,5.7,2.1,virginica,22.11,11.97
125,7.2,3.2,6.0,1.8,virginica,23.040000000000003,10.8
126,6.2,2.8,4.8,1.8,virginica,17.36,8.64
127,6.1,3.0,4.9,1.8,virginica,18.299999999999997,8.82
128,6.4,2.8,5.6,2.1,virginica,17.919999999999998,11.76
129,7.2,3.0,5.8,1.6,virginica,21.6,9.28
130,7.4,2.8,6.1,1.9,virginica,20.72,11.589999999999998
131,7.9,3.8,6.4,2.0,virginica,30.02,12.8
132,6.4,2.8,5.6,2.2,virginica,17.919999999999998,12.32
133,6.3,2.8,5.1,1.5,virginica,17.639999999999997,7.6499999999999995
134,6.1,2.6,5.6,1.4,virginica,15.86,7.839999999999999
135,7.7,3.0,6.1,2.3,virginica,23.1,14.029999999999998
136,6.3,3.4,5.6,2.4,virginica,21.419999999999998,13.44
137,6.4,3.1,5.5,1.8,virginica,19.840000000000003,9.9
138,6.0,3.0,4.8,1.8,virginica,18.0,8.64
139,6.9,3.1,5.4,2.1,virginica,21.39,11.340000000000002
140,6.7,3.1,5.6,2.4,virginica,20.77,13.44
141,6.9,3.1,5.1,2.3,virginica,21.39,11.729999999999999
142,5.8,2.7,5.1,1.9,virginica,15.66,9.69
143,6.8,3.2,5.9,2.3,virginica,21.76,13.57
144,6.7,3.3,5.7,2.5,virginica,22.11,14.25
145,6.7,3.0,5.2,2.3,virginica,20.1,11.959999999999999
146,6.3,2.5,5.0,1.9,virginica,15.75,9.5
147,6.5,3.0,5.2,2.0,virginica,19.5,10.4
148,6.2,3.4,5.4,2.3,virginica,21.08,12.42
149,5.9,3.0,5.1,1.8,virginica,17.700000000000003,9.18
